127.0.0.1 - - [13/Feb/2023:15:11:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:11:56 +0530] "GET /Employee/index.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:11:56 +0530] "GET /Employee/Mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:11:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:12:16 +0530] "GET /Employee/add.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:13:03 +0530] "POST /Employee/addRecord.jsp HTTP/1.1" 500 3476
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:14:21 +0530] "POST /Employee/addRecord.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:14:21 +0530] "GET /Employee/EmployeeList.jsp HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:14:55 +0530] "GET /Employee/index.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:15:04 +0530] "GET /Employee/add.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:15:47 +0530] "POST /Employee/addRecord.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:15:47 +0530] "GET /Employee/EmployeeList.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:16:03 +0530] "GET /Employee/index.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:16:10 +0530] "GET /Employee/EmployeeList.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:16:48 +0530] "GET /Employee/delete.jsp?id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:16:48 +0530] "GET /Employee/EmployeeList.jsp HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:17:28 +0530] "GET /Employee/index.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:17:31 +0530] "GET /Employee/add.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:17:45 +0530] "GET /Employee/EmployeeList.jsp HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:19:52 +0530] "GET /Employee/index.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:19:55 +0530] "GET /Employee/add.jsp HTTP/1.1" 200 1074
